OGLE-LMC-CEP-0369  15.349 16.119   3.3379668 0.0000049  2166.16438  0.479  0.414 4.527  0.218 2.810
OGLE-LMC-CEP-0370  15.863 16.693   2.6797613 0.0000045  2166.67208  0.340  0.410 4.535  0.192 2.829
OGLE-LMC-CEP-0373  15.384 16.046   2.8811198 0.0000032  2166.22254  0.615  0.480 4.386  0.266 2.550
OGLE-LMC-CEP-0377  14.158 14.845   6.2471228 0.0000191  2164.79229  0.524  0.381 4.586  0.141 2.727
OGLE-LMC-CEP-0378  15.596 16.332   2.6397216 0.0000025  2165.64059  0.496  0.484 4.460  0.271 2.723
OGLE-LMC-CEP-0380  14.707 15.665   7.0874344 0.0002165  2165.76273  0.083  0.141 4.959  0.041 1.929
OGLE-LMC-CEP-0382  15.671 16.461   2.7961643 0.0000049  2164.07107  0.357  0.393 4.508  0.167 2.769
OGLE-LMC-CEP-0384  15.394 16.136   3.1855646 0.0000034  2162.84479  0.445  0.448 4.594  0.236 2.904
OGLE-LMC-CEP-0385  15.018 15.055   4.2736480 0.0001092  2165.52639  0.357  0.340 4.863  0.136 3.222
OGLE-LMC-CEP-0387  15.660 16.423   2.7695419 0.0000074  2164.55661  0.235  0.291 4.475  0.092 2.681
OGLE-LMC-CEP-0390  15.164 15.794   3.4360458 0.0000030  2165.29290  0.655  0.477 4.489  0.295 2.782
OGLE-LMC-CEP-0392  14.801 15.706   5.8129308 0.0000213  2161.07959  0.282  0.329 5.051  0.058 3.872
OGLE-LMC-CEP-0394  14.359 15.173   7.2367891 0.0000346  2161.11463  0.305  0.312 5.491  0.071 4.074
OGLE-LMC-CEP-0396  15.006 15.767   4.2989515 0.0000076  2162.89827  0.524  0.450 4.694  0.229 3.146
