ID;mag_I;mag_V;P;error_P;t_max;amp_I;R_21;phi_21;R_31;phi_31;mode;ra;dec;OGLE-IV ID;OGLE-III ID;OGLE-II ID;GCVS;DASCH
OGLE-LMC-CEP-0648;13.696;14.640999999999998;13.6262059;9.1e-05;6010.47501;489;107;4.853;134;1.736;F;05:00:48.36;-69:31:54.7;LMC509.31.23;LMC127.1.7455;LMC_SC15_56087;HV2270;True
OGLE-LMC-CEP-1539;13.504000000000001;14.515;13.5133053;9.31e-05;6002.13389;0.44799999999999995;128;4.742;128;1.818;F;05:18:22.11;-69:21:47.3;LMC503.12.127448;LMC100.7.52521;LMC_SC7_184038;;False
OGLE-LMC-CEP-4057;13.203;14.037;13.423685500000001;0.00013330000000000001;6009.93635;541;192;4.503;142;0.6709999999999999;F;05:29:16.58;-67:28:21.5;LMC518.13.22057;HV2579;;;True
OGLE-LMC-CEP-3203;13.382;14.187999999999999;13.402220699999999;0.0001078;6004.97437;0.33399999999999996;0.16899999999999998;4.38;114;1.263;F;05:48:06.94;-71:30:21.4;LMC551.21.25041;LMC187.6.25862;HV12656;;True
OGLE-LMC-CEP-1578;13.405;14.151;13.284187099999999;9.71e-05;6001.64565;0.7290000000000001;222;5.05;0.15;2.086;F;05:19:14.79;-69:36:18.1;LMC503.12.3;LMC103.4.67187;LMC_SC7_270379;HV932;True
OGLE-LMC-CEP-2337;13.637;14.546;13.1426527;0.0001002;6010.03021;0.55;147;5.043;0.11599999999999999;1.827;F;05:33:00.99;-68:11:27.6;LMC517.28.18011;LMC166.2.19629;HV997;;True
OGLE-LMC-CEP-1862;13.769;14.752;13.124368900000002;6.2e-05;6010.2815;436;71;4.013999999999999;0.14;1.393;F;05:24:13.45;-69:30:01.6;LMC503.09.69883;LMC161.8.35298;LMC_SC5_315434;;True
OGLE-LMC-CEP-0655;13.915999999999999;14.875;12.9872171;4.8899999999999996e-05;6009.9978200000005;0.5379999999999999;0.17800000000000002;5.032;0.12;2.213;F;05:00:55.87;-68:26:20.8;LMC510.24.34165;LMC126.4.7916;HV2260;;True
OGLE-LMC-CEP-1954;13.722999999999999;14.667;12.9500482;8.39e-05;6010.33802;611;179;5.127000000000001;0.11599999999999999;2.093;F;05:25:39.09;-71:06:39.8;LMC515.25.22432;LMC164.7.17093;HV2527;;True
OGLE-LMC-CEP-0949;13.597000000000001;14.425;12.9166525;7.840000000000001e-05;6002.8997899999995;664;0.2;5.088;128;2.085;F;05:06:16.89;-68:40:33.8;LMC510.21.6;LMC118.7.77545;LMC_SC13_173745;HV895;True
OGLE-LMC-CEP-2922;13.54;14.31;12.7704755;7.829999999999999e-05;6008.87727;603;0.29600000000000004;4.766;187;2.314;F;05:41:17.12;-72:11:54.7;LMC514.18.11163;LMC180.3.6;HV12839;;True
OGLE-LMC-CEP-4320;13.623;14.54;12.7409375;9.740000000000001e-05;6009.0590600000005;371;71;3.679;0.16399999999999998;1.38;F;05:43:19.74;-67:02:55.7;LMC555.12.2936;;;;False
OGLE-LMC-CEP-0969;13.703;14.62;12.721034300000001;0.0001084;6006.19794;0.49200000000000005;94;4.746;133;1.5130000000000001;F;05:06:52.86;-68:43:25.1;LMC510.11.55349;LMC118.2.56616;LMC_SC13_173734;HV2321;True
OGLE-LMC-CEP-0356;13.694;14.597999999999999;12.6841678;5.15e-05;6002.75703;0.6829999999999999;0.28600000000000003;5.0569999999999995;183;2.678;F;04:54:55.36;-70:15:22.8;LMC530.19.12340;LMC137.4.15750;HV874;;True
OGLE-LMC-CEP-4457;13.584000000000001;14.435;12.646078;0.00010229999999999999;6002.22179;281;65;2.349;92;1.288;F;05:49:57.93;-67:15:52.1;LMC562.24.11228;HV2865;;;True
OGLE-LMC-CEP-0800;13.637;14.456;12.636656;8.14e-05;6005.05176;612;0.17;5.07;126;1.9609999999999999;F;05:03:25.06;-68:46:21.0;LMC510.13.54189;LMC118.7.13;LMC_SC14_117525;HV2285;True
OGLE-LMC-CEP-0975;13.671;14.574000000000002;12.623895599999999;7.329999999999999e-05;6008.73965;0.47100000000000003;78;4.85;0.11900000000000001;1.389;F;05:06:58.28;-68:36:41.1;LMC510.20.22;LMC118.3.25;LMC_SC13_247787;HV898;True
